volt    param        param
         1/lx8(mp)     -i(mp)
2.00000     2.329e+13    2.058e-12
1.99900     2.268e+13    2.059e-12
1.99800     2.208e+13    2.061e-12
1.99700     2.150e+13    2.062e-12
1.99600     2.093e+13    2.064e-12
1.99500     2.038e+13    2.066e-12
1.99400     1.984e+13    2.067e-12
1.99300     1.932e+13    2.069e-12
1.99200     1.881e+13    2.071e-12
1.99100     1.831e+13    2.073e-12
1.99000     1.783e+13    2.075e-12
1.98900     1.736e+13    2.077e-12
1.98800     1.690e+13    2.079e-12
1.98700     1.645e+13    2.081e-12
1.98600     1.602e+13    2.083e-12
1.98500     1.559e+13    2.085e-12
1.98400     1.518e+13    2.088e-12
1.98300     1.478e+13    2.090e-12
1.98200     1.439e+13    2.092e-12
1.98100     1.401e+13    2.095e-12
1.98000     1.364e+13    2.097e-12
1.97900     1.328e+13    2.100e-12
1.97800     1.293e+13    2.102e-12
1.97700     1.259e+13    2.105e-12
1.97600     1.226e+13    2.108e-12
1.97500     1.193e+13    2.111e-12
1.97400     1.162e+13    2.114e-12
1.97300     1.131e+13    2.117e-12
1.97200     1.101e+13    2.120e-12
1.97100     1.072e+13    2.123e-12
1.97000     1.044e+13    2.127e-12
1.96900     1.016e+13    2.130e-12
1.96800     9.899e+12    2.133e-12
1.96700     9.638e+12    2.137e-12
1.96600     9.383e+12    2.141e-12
1.96500     9.136e+12    2.144e-12
1.96400     8.895e+12    2.148e-12
1.96300     8.660e+12    2.152e-12
1.96200     8.431e+12    2.156e-12
1.96100     8.209e+12    2.160e-12
1.96000     7.992e+12    2.165e-12
1.95900     7.781e+12    2.169e-12
1.95800     7.576e+12    2.174e-12
1.95700     7.376e+12    2.178e-12
1.95600     7.181e+12    2.183e-12
1.95500     6.992e+12    2.188e-12
1.95400     6.807e+12    2.193e-12
1.95300     6.627e+12    2.198e-12
1.95200     6.452e+12    2.204e-12
1.95100     6.282e+12    2.209e-12
1.95000     6.116e+12    2.215e-12
1.94900     5.955e+12    2.221e-12
1.94800     5.798e+12    2.226e-12
1.94700     5.645e+12    2.232e-12
1.94600     5.496e+12    2.239e-12
1.94500     5.351e+12    2.245e-12
1.94400     5.210e+12    2.252e-12
1.94300     5.072e+12    2.258e-12
1.94200     4.938e+12    2.265e-12
1.94100     4.808e+12    2.273e-12
1.94000     4.681e+12    2.280e-12
1.93900     4.557e+12    2.287e-12
1.93800     4.437e+12    2.295e-12
1.93700     4.320e+12    2.303e-12
1.93600     4.206e+12    2.311e-12
1.93500     4.095e+12    2.320e-12
1.93400     3.987e+12    2.328e-12
1.93300     3.882e+12    2.337e-12
1.93200     3.779e+12    2.346e-12
1.93100     3.680e+12    2.355e-12
1.93000     3.582e+12    2.365e-12
1.92900     3.488e+12    2.375e-12
1.92800     3.396e+12    2.385e-12
1.92700     3.306e+12    2.395e-12
1.92600     3.219e+12    2.406e-12
1.92500     3.134e+12    2.417e-12
1.92400     3.051e+12    2.428e-12
1.92300     2.971e+12    2.440e-12
1.92200     2.892e+12    2.452e-12
1.92100     2.816e+12    2.464e-12
1.92000     2.742e+12    2.477e-12
1.91900     2.669e+12    2.489e-12
1.91800     2.599e+12    2.503e-12
1.91700     2.530e+12    2.516e-12
1.91600     2.464e+12    2.530e-12
1.91500     2.398e+12    2.544e-12
1.91400     2.335e+12    2.559e-12
1.91300     2.274e+12    2.574e-12
1.91200     2.214e+12    2.590e-12
1.91100     2.155e+12    2.606e-12
1.91000     2.098e+12    2.622e-12
1.90900     2.043e+12    2.639e-12
1.90800     1.989e+12    2.656e-12
1.90700     1.936e+12    2.674e-12
1.90600     1.885e+12    2.692e-12
1.90500     1.836e+12    2.711e-12
1.90400     1.787e+12    2.730e-12
1.90300     1.740e+12    2.750e-12
1.90200     1.694e+12    2.770e-12
1.90100     1.649e+12    2.791e-12
1.90000     1.606e+12    2.812e-12
1.89900     1.563e+12    2.834e-12
1.89800     1.522e+12    2.857e-12
