amps        rds          id
                                
1.0000e-09    1.700e+09    1.000e-09
1.0233e-09    1.661e+09    1.023e-09
1.0471e-09    1.623e+09    1.047e-09
1.0715e-09    1.586e+09    1.072e-09
1.0965e-09    1.550e+09    1.096e-09
1.1220e-09    1.515e+09    1.122e-09
1.1482e-09    1.480e+09    1.148e-09
1.1749e-09    1.446e+09    1.175e-09
1.2023e-09    1.414e+09    1.202e-09
1.2303e-09    1.381e+09    1.230e-09
1.2589e-09    1.350e+09    1.259e-09
1.2882e-09    1.319e+09    1.288e-09
1.3183e-09    1.289e+09    1.318e-09
1.3490e-09    1.260e+09    1.349e-09
1.3804e-09    1.231e+09    1.380e-09
1.4125e-09    1.203e+09    1.413e-09
1.4454e-09    1.176e+09    1.445e-09
1.4791e-09    1.149e+09    1.479e-09
1.5136e-09    1.123e+09    1.514e-09
1.5488e-09    1.097e+09    1.549e-09
1.5849e-09    1.072e+09    1.585e-09
1.6218e-09    1.048e+09    1.622e-09
1.6596e-09    1.024e+09    1.660e-09
1.6982e-09    1.001e+09    1.698e-09
1.7378e-09    9.782e+08    1.738e-09
1.7783e-09    9.559e+08    1.778e-09
1.8197e-09    9.342e+08    1.820e-09
1.8621e-09    9.129e+08    1.862e-09
1.9055e-09    8.921e+08    1.905e-09
1.9498e-09    8.718e+08    1.950e-09
1.9953e-09    8.520e+08    1.995e-09
2.0417e-09    8.326e+08    2.042e-09
2.0893e-09    8.136e+08    2.089e-09
2.1380e-09    7.951e+08    2.138e-09
2.1878e-09    7.770e+08    2.188e-09
2.2387e-09    7.593e+08    2.239e-09
2.2909e-09    7.420e+08    2.291e-09
2.3442e-09    7.251e+08    2.344e-09
2.3988e-09    7.086e+08    2.399e-09
2.4547e-09    6.925e+08    2.455e-09
2.5119e-09    6.767e+08    2.512e-09
2.5704e-09    6.613e+08    2.570e-09
2.6303e-09    6.463e+08    2.630e-09
2.6915e-09    6.316e+08    2.692e-09
2.7542e-09    6.172e+08    2.754e-09
2.8184e-09    6.031e+08    2.818e-09
2.8840e-09    5.894e+08    2.884e-09
2.9512e-09    5.760e+08    2.951e-09
3.0200e-09    5.629e+08    3.020e-09
3.0903e-09    5.501e+08    3.090e-09
3.1623e-09    5.375e+08    3.162e-09
3.2359e-09    5.253e+08    3.236e-09
3.3113e-09    5.133e+08    3.311e-09
3.3884e-09    5.017e+08    3.388e-09
3.4674e-09    4.902e+08    3.467e-09
3.5481e-09    4.791e+08    3.548e-09
3.6308e-09    4.682e+08    3.631e-09
3.7154e-09    4.575e+08    3.715e-09
3.8019e-09    4.471e+08    3.802e-09
3.8905e-09    4.369e+08    3.890e-09
3.9811e-09    4.270e+08    3.981e-09
4.0738e-09    4.173e+08    4.074e-09
4.1687e-09    4.078e+08    4.169e-09
4.2658e-09    3.985e+08    4.266e-09
4.3652e-09    3.894e+08    4.365e-09
4.4668e-09    3.805e+08    4.467e-09
4.5709e-09    3.719e+08    4.571e-09
4.6774e-09    3.634e+08    4.677e-09
4.7863e-09    3.551e+08    4.786e-09
4.8978e-09    3.471e+08    4.898e-09
5.0119e-09    3.391e+08    5.012e-09
5.1286e-09    3.314e+08    5.129e-09
5.2481e-09    3.239e+08    5.248e-09
5.3703e-09    3.165e+08    5.370e-09
5.4954e-09    3.093e+08    5.495e-09
5.6234e-09    3.023e+08    5.623e-09
5.7544e-09    2.954e+08    5.754e-09
5.8884e-09    2.887e+08    5.888e-09
6.0256e-09    2.821e+08    6.026e-09
6.1660e-09    2.757e+08    6.166e-09
6.3096e-09    2.694e+08    6.310e-09
6.4565e-09    2.633e+08    6.457e-09
6.6069e-09    2.573e+08    6.607e-09
6.7608e-09    2.514e+08    6.761e-09
6.9183e-09    2.457e+08    6.918e-09
7.0795e-09    2.401e+08    7.079e-09
7.2444e-09    2.346e+08    7.244e-09
7.4131e-09    2.293e+08    7.413e-09
7.5858e-09    2.241e+08    7.586e-09
