volt    current          gmn         rdsn         gmrdn   
3.30000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.29000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.28000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.27000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.26000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.25000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.24000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.23000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.22000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.21000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.20000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.19000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.18000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.17000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.16000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.15000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.14000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.13000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.12000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.11000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.10000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.09000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.08000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.07000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.06000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.05000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.04000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.03000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.02000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.01000     1.178e-06    2.804e-05    4.937e-07     56.7920
3.00000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.99000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.98000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.97000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.96000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.95000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.94000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.93000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.92000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.91000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.90000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.89000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.88000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.87000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.86000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.85000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.84000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.83000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.82000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.81000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.80000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.79000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.78000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.77000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.76000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.75000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.74000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.73000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.72000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.71000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.70000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.69000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.68000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.67000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.66000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.65000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.64000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.63000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.62000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.61000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.60000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.59000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.58000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.57000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.56000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.55000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.54000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.53000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.52000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.51000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.50000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.49000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.48000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.47000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.46000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.45000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.44000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.43000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.42000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.41000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.40000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.39000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.38000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.37000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.36000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.35000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.34000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.33000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.32000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.31000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.30000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.29000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.28000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.27000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.26000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.25000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.24000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.23000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.22000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.21000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.20000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.19000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.18000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.17000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.16000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.15000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.14000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.13000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.12000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.11000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.10000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.09000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.08000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.07000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.06000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.05000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.04000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.03000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.02000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.01000     1.178e-06    2.804e-05    4.937e-07     56.7920
2.00000     1.178e-06    2.804e-05    4.937e-07
