volt    current         rdsn    
3.30000    -2.601e-12    2.076e-16
3.29000    -2.602e-12    2.757e-16
3.28000    -2.602e-12    3.662e-16
3.27000    -2.603e-12    4.863e-16
3.26000    -2.603e-12    6.459e-16
3.25000    -2.604e-12    8.578e-16
3.24000    -2.606e-12    1.139e-15
3.23000    -2.607e-12    1.513e-15
3.22000    -2.610e-12    2.009e-15
3.21000    -2.613e-12    2.668e-15
3.20000    -2.617e-12    3.544e-15
3.19000    -2.622e-12    4.706e-15
3.18000    -2.630e-12    6.248e-15
3.17000    -2.639e-12    8.297e-15
3.16000    -2.652e-12    1.102e-14
3.15000    -2.669e-12    1.463e-14
3.14000    -2.691e-12    1.942e-14
3.13000    -2.721e-12    2.578e-14
3.12000    -2.761e-12    3.422e-14
3.11000    -2.814e-12    4.541e-14
3.10000    -2.883e-12    6.027e-14
3.09000    -2.976e-12    7.997e-14
3.08000    -3.099e-12    1.061e-13
3.07000    -3.262e-12    1.407e-13
3.06000    -3.479e-12    1.867e-13
3.05000    -3.766e-12    2.475e-13
3.04000    -4.146e-12    3.281e-13
3.03000    -4.651e-12    4.348e-13
3.02000    -5.319e-12    5.760e-13
3.01000    -6.204e-12    7.627e-13
3.00000    -7.375e-12    1.010e-12
2.99000    -8.924e-12    1.335e-12
2.98000    -1.097e-11    1.766e-12
2.97000    -1.368e-11    2.333e-12
2.96000    -1.726e-11    3.080e-12
2.95000    -2.197e-11    4.063e-12
2.94000    -2.819e-11    5.353e-12
2.93000    -3.637e-11    7.046e-12
2.92000    -4.713e-11    9.262e-12
2.91000    -6.126e-11    1.216e-11
2.90000    -7.977e-11    1.593e-11
2.89000    -1.040e-10    2.084e-11
2.88000    -1.356e-10    2.720e-11
2.87000    -1.769e-10    3.543e-11
2.86000    -2.304e-10    4.602e-11
2.85000    -2.998e-10    5.962e-11
2.84000    -3.895e-10    7.699e-11
2.83000    -5.050e-10    9.909e-11
2.82000    -6.532e-10    1.271e-10
2.81000    -8.425e-10    1.623e-10
2.80000    -1.083e-09    2.065e-10
2.79000    -1.389e-09    2.616e-10
2.78000    -1.774e-09    3.299e-10
2.77000    -2.258e-09    4.141e-10
2.76000    -2.862e-09    5.174e-10
2.75000    -3.613e-09    6.434e-10
2.74000    -4.543e-09    7.966e-10
2.73000    -5.688e-09    9.818e-10
2.72000    -7.094e-09    1.205e-09
2.71000    -8.810e-09    1.473e-09
2.70000    -1.090e-08    1.795e-09
2.69000    -1.343e-08    2.179e-09
2.68000    -1.650e-08    2.638e-09
2.67000    -2.019e-08    3.185e-09
2.66000    -2.464e-08    3.836e-09
2.65000    -2.998e-08    4.610e-09
2.64000    -3.638e-08    5.529e-09
2.63000    -4.402e-08    6.618e-09
2.62000    -5.315e-08    7.905e-09
2.61000    -6.402e-08    9.420e-09
2.60000    -7.693e-08    1.120e-08
2.59000    -9.222e-08    1.327e-08
2.58000    -1.103e-07    1.568e-08
2.57000    -1.315e-07    1.847e-08
2.56000    -1.564e-07    2.166e-08
2.55000    -1.855e-07    2.529e-08
2.54000    -2.192e-07    2.940e-08
2.53000    -2.582e-07    3.400e-08
2.52000    -3.029e-07    3.912e-08
2.51000    -3.539e-07    4.477e-08
2.50000    -4.118e-07    5.094e-08
2.49000    -4.771e-07    5.765e-08
2.48000    -5.503e-07    6.488e-08
2.47000    -6.318e-07    7.261e-08
2.46000    -7.221e-07    8.084e-08
2.45000    -8.214e-07    8.953e-08
2.44000    -9.300e-07    9.867e-08
2.43000    -1.048e-06    1.082e-07
2.42000    -1.176e-06    1.182e-07
2.41000    -1.314e-06    1.286e-07
2.40000    -1.463e-06    1.393e-07
2.39000    -1.621e-06    1.503e-07
2.38000    -1.789e-06    1.617e-07
2.37000    -1.968e-06    1.735e-07
2.36000    -2.156e-06    1.855e-07
2.35000    -2.355e-06    1.979e-07
2.34000    -2.564e-06    2.106e-07
2.33000    -2.782e-06    2.236e-07
2.32000    -3.011e-06    2.369e-07
2.31000    -3.249e-06    2.505e-07
2.30000    -3.497e-06    2.644e-07
2.29000    -3.754e-06    2.787e-07
2.28000    -4.021e-06    2.933e-07
2.27000    -4.297e-06    3.082e-07
2.26000    -4.582e-06    3.234e-07
2.25000    -4.877e-06    3.391e-07
2.24000    -5.180e-06    3.550e-07
2.23000    -5.493e-06    3.714e-07
2.22000    -5.814e-06    3.881e-07
2.21000    -6.144e-06    4.052e-07
2.20000    -6.482e-06    4.228e-07
2.19000    -6.830e-06    4.407e-07
2.18000    -7.185e-06    4.590e-07
2.17000    -7.549e-06    4.778e-07
2.16000    -7.922e-06    4.970e-07
2.15000    -8.302e-06    5.166e-07
2.14000    -8.691e-06    5.367e-07
2.13000    -9.088e-06    5.573e-07
2.12000    -9.493e-06    5.783e-07
2.11000    -9.905e-06    5.999e-07
2.10000    -1.033e-05    6.219e-07
2.09000    -1.075e-05    6.445e-07
2.08000    -1.119e-05    6.675e-07
2.07000    -1.163e-05    6.911e-07
2.06000    -1.209e-05    7.153e-07
2.05000    -1.254e-05    7.400e-07
2.04000    -1.301e-05    7.653e-07
2.03000    -1.348e-05    7.912e-07
2.02000    -1.396e-05    8.176e-07
2.01000    -1.445e-05    8.447e-07
2.00000    -1.495e-05    8.724e-07
